Sentence,Label,query_len,num_words_query,no_single_qts,no_double_qts,no_punct,no_single_cmnt,no_mult_cmnt,no_space,no_perc,no_log_opt,no_arith,no_null,no_hexa,no_alpha,no_digit,len_of_chr_char_null,genuine_keywords
" christ born, millions minds grow cleave genius, confounded virtue possible man",0,79,11,0,0,2,0,0,11,0,0,0,0,0,66,0,1,0
" an institution lengthened shadow one man; as, monachism, hermit antony; reformation, luther; quakerism, fox; methodism, wesley; abolition, clarkson",0,148,18,0,0,11,0,0,18,0,0,0,0,0,119,0,0,0
" scipio, milton called height rome; history resolves easily biography stout earnest persons",0,91,12,0,0,2,0,0,12,0,0,0,0,0,77,0,0,0
 standard automatic speech recognizers output unstructured streams words,0,72,8,0,0,0,0,0,8,0,0,0,0,0,64,0,0,0
" they neither perform proper segmentation output sentences, predict punctuation symbols",0,87,10,0,0,1,0,0,10,0,0,0,0,0,76,0,0,0
" the unavailable punctuations sentence boundaries transcribed speech texts create barriers many subsequent processing tasks, summarization, information extraction, question answering machine translation",0,202,21,0,0,3,0,0,21,0,0,0,0,0,178,0,0,0
" thus, segmentation long texts necessary many real applications",0,63,8,0,0,1,0,0,8,0,0,0,0,0,54,0,0,0
" for example, speech-to-speech translation, continuously transcribed speech texts need segmented fed subsequent machine translation systems (takezawa et al",0,155,18,0,0,5,0,0,18,0,0,2,0,0,132,0,0,0
", 1998; nakamura, 2009)",0,23,4,0,0,4,0,0,3,0,0,0,0,0,8,8,0,0
" this current machine translation (mt) systems perform translation sentence level, various models used mt trained segmented sentences many algorithms inside mt exponential complexity regard length inputs",0,203,26,0,0,3,0,0,26,0,0,0,0,0,174,0,0,0
 the punctuation prediction problem attracted research interest speech processing community natural language processing community,0,129,14,0,0,0,0,0,14,0,0,0,0,0,115,0,0,0
" most previous work primarily exploits local features statistical models lexicons, prosodic cues hidden event language model (helm) (liu et al",0,142,20,0,0,4,0,0,20,0,0,0,0,0,118,0,0,0
", 2005; matusov et al",0,21,5,0,0,2,0,0,4,0,0,0,0,0,11,4,0,0
", 2006; huang zweig, 2002; stolcke shriberg, 1996)",0,50,8,0,0,6,0,0,7,0,0,0,0,0,25,12,0,0
 the word-level models integrating local features narrow views input could achieve satisfied performance due limited context information access (favre et al,0,156,21,0,0,2,0,0,21,0,0,1,0,0,133,0,0,0
" naturally, global contexts required model punctuation prediction, especially long-range dependencies",0,101,10,0,0,3,0,0,10,0,0,1,0,0,88,0,0,0
" for instance, english question sentences, ending question mark long-range dependent initial phrases (lu ng, 2010), could figure 1",0,130,18,0,0,7,0,0,18,0,0,1,0,0,100,5,0,0
 there work trying incorporate syntactic features broaden view hypotheses punctuation prediction models (roark et al,0,116,15,0,0,1,0,0,15,0,0,0,0,0,100,0,0,0
", 2006; favre et al",0,19,5,0,0,2,0,0,4,0,0,0,0,0,9,4,0,0
" in methods, punctuation prediction treated separated post-procedure parsing, may suffer problem error propagation",0,114,13,0,0,3,0,0,13,0,0,1,0,0,98,0,0,0
" in addition, approaches able incrementally process inputs efficient long inputs, especially cases long transcribed speech texts presentations number streaming words could larger hundreds thousands",0,197,24,0,0,2,0,0,24,0,0,0,0,0,171,0,0,0
" in paper, propose jointly performing punctuation prediction transition-based dependency parsing transcribed speech text",0,120,13,0,0,2,0,0,13,0,0,1,0,0,105,0,0,0
" when transition-based parsing consumes stream words left right shift-reduce decoding algorithm, punctuation symbols predicted word based contexts parsing tree",0,159,19,0,0,3,0,0,19,0,0,2,0,0,137,0,0,0
 two models proposed cause punctuation prediction interact transition actions parsing,0,85,10,0,0,0,0,0,10,0,0,0,0,0,75,0,0,0
 one conduct transition actions parsing followed punctuation predictions cascaded way,0,85,10,0,0,0,0,0,10,0,0,0,0,0,75,0,0,0
" the associate conventional transition actions parsing punctuation perditions, predicted punctuations directly inferred parsing tree",0,132,14,0,0,1,0,0,14,0,0,0,0,0,117,0,0,0
 our models linear complexity capable handling streams words length,0,67,9,0,0,0,0,0,9,0,0,0,0,0,58,0,0,0
" in addition, computation models use rich set syntactic features, improve complicated punctuation predictions global view, especially long range dependencies",0,157,19,0,0,3,0,0,19,0,0,0,0,0,135,0,0,0
 figure 1 shows example parsing helps punctuation prediction transcribed speech text,0,84,11,0,0,0,0,0,11,0,0,0,0,0,72,1,0,0
" as illustrated figure 1(b), two commas predicted preceding words act adverbial modifiers (advmod) parsing",0,106,14,0,0,5,0,0,14,0,0,0,0,0,86,1,0,0
 the period word menu predicted parsing adverbial clause modifier (advcl) completed,0,83,11,0,0,2,0,0,11,0,0,0,0,0,70,0,0,0
" the question mark end input determined direct object modifier (dobj) identified, together long range clue auxiliary word occurs nominal subject (nsubj)",0,152,21,0,0,5,0,0,21,0,0,0,0,0,126,0,0,0
" eventually, two segmentations formed according punctuation prediction results, shown figure 1(c)",0,97,11,0,0,4,0,0,11,0,0,0,0,0,81,1,0,0
" the training data used models adapted treebank data excluding punctuations keeping punctuation contexts, simulate unavailable annotated transcribed speech texts",0,161,19,0,0,1,0,0,19,0,0,0,0,0,141,0,0,0
" in decoding, beam search used get optimal punctuation prediction results",0,73,10,0,0,1,0,0,10,0,0,0,0,0,62,0,0,0
 we conduct experiments iwslt data tdt4 test data sets,0,54,9,0,0,0,0,0,9,0,0,0,0,0,44,1,0,0
 the experimental results show method achieve higher performance crf-based baseline method,0,90,11,0,0,1,0,0,11,0,0,1,0,0,78,0,0,0
 the paper structured follows: section 2 conducts survey related work,0,69,10,0,0,1,0,0,10,0,0,0,0,0,57,1,0,0
 the transitionbased dependency parsing introduced section 3,0,60,7,0,0,0,0,0,7,0,0,0,0,0,52,1,0,0
 we explain approach predicting punctuations transcribed speech texts section 4,0,79,10,0,0,0,0,0,10,0,0,0,0,0,68,1,0,0
 section 5 gives results experiment,0,35,5,0,0,0,0,0,5,0,0,0,0,0,29,1,0,0
 the conclusion future work given section 6,0,43,7,0,0,0,0,0,7,0,0,0,0,0,35,1,0,0
 sentence boundary detection punctuation prediction extensively studied speech processing field attracted research interest natural language processing field well,0,162,18,0,0,0,0,0,18,0,0,0,0,0,144,0,0,0
 most previous work exploits local features task,0,48,7,0,0,0,0,0,7,0,0,0,0,0,41,0,0,0
" kim woodland (2001), huang zweig (2002), christensen et al",0,59,9,0,0,6,0,0,9,0,0,0,0,0,36,8,1,0
" (2001), liu et al",0,18,4,0,0,3,0,0,4,0,0,0,0,0,7,4,0,0
" (2005) integrate prosodic features (pitch, pause duration, etc",0,63,8,0,0,5,0,0,8,0,0,0,0,0,46,4,0,0
") lexical features (words, n-grams, etc",0,39,6,0,0,5,0,0,5,0,0,1,0,0,29,0,0,0
") predict punctuation symbols speech recognition, huang zweig (2002) uses maximum entropy model, christensen et al",0,114,16,0,0,5,0,0,15,0,0,0,0,0,90,4,1,0
" (2001) focus finite state multi-layer perceptron methods, liu et al",0,68,10,0,0,4,0,0,10,0,0,1,0,0,50,4,0,0
 (2005) uses conditional random fields,0,38,5,0,0,2,0,0,5,0,0,0,0,0,27,4,0,0
" however, scenarios prosodic cues available due inaccessible original raw speech waveforms",0,90,11,0,0,1,0,0,11,0,0,0,0,0,78,0,0,0
 matusov et al,0,14,3,0,0,0,0,0,3,0,0,0,0,0,11,0,0,0
 (2006) integrate segmentation features log-linear model statistical machine translation (smt) framework improve translation performance translating transcribed speech texts,0,173,18,0,0,5,0,0,18,0,0,1,0,0,146,4,0,0
 lu ng (2010) uses dynamic conditional random fields perform sentence boundary sentence type prediction,0,103,14,0,0,2,0,0,14,0,0,0,0,0,83,4,0,0
 they achieved promising results english chinese transcribed speech texts,0,73,9,0,0,0,0,0,9,0,0,0,0,0,64,0,0,0
" the work exploits local features, limited capturing long range dependencies punctuation prediction",0,99,12,0,0,1,0,0,12,0,0,0,0,0,86,0,0,0
" it natural incorporate global knowledge, syntactic information, improve punctuation prediction performance",0,107,11,0,0,2,0,0,11,0,0,0,0,0,94,0,0,0
 roark et al,0,12,3,0,0,0,0,0,3,0,0,0,0,0,9,0,0,0
 (2006) use rich set non-local features including parser scores re-rank full segmentations,0,90,12,0,0,4,0,0,12,0,0,2,0,0,70,4,0,0
 favre et al,0,12,3,0,0,0,0,0,3,0,0,0,0,0,9,0,0,0
 (2008) integrate syntactic information pcfg parser log-linear combine local features sentence segmentation,0,107,12,0,0,3,0,0,12,0,0,1,0,0,88,4,0,0
" the punctuation prediction works performed post-procedure step parsing, parse tree needs built advance",0,103,13,0,0,2,0,0,13,0,0,1,0,0,88,0,0,0
" as parsing stream words transcribed speech text exponentially complex, approaches feasible short input processing",0,114,14,0,0,1,0,0,14,0,0,0,0,0,99,0,0,0
" unlike works, incorporate punctuation prediction parsing process left right input without length limitations",0,109,13,0,0,1,0,0,13,0,0,0,0,0,95,0,0,0
" numerous dependency parsing algorithms proposed natural language processing community, including transition-based graph-based dependency parsing",0,145,14,0,0,3,0,0,14,0,0,2,0,0,128,0,0,0
" compared graph-based parsing, transition-based parsing offer linear time complexity easily leverage non-local features models (yamada matsumoto, 2003; nivre et al",0,163,20,0,0,7,0,0,20,0,0,3,0,0,132,4,0,0
", 2006b; zhang clark, 2008; huang sagae, 2010)",0,46,8,0,0,6,0,0,7,0,0,0,0,0,21,12,0,0
" starting work (zhang nivre, 2011), paper extend transition-based dependency parsing sentence-level stream words integrate parsing punctuation prediction",0,153,17,0,0,6,0,0,17,0,0,2,0,0,126,4,0,0
 joint pos tagging transition-based dependency parsing studied (hatori et al,0,76,10,0,0,2,0,0,10,0,0,1,0,0,64,0,0,0
", 2011; bohnet nivre, 2012)",0,27,5,0,0,4,0,0,4,0,0,0,0,0,11,8,0,0
" the improvements reported joint model compared pipeline model chinese richly inflected languages, shows also makes sense jointly perform punctuation prediction parsing, although two tasks pos tagging punctuation prediction different two ways: 1)",0,246,32,0,0,4,0,0,32,0,0,0,0,0,209,1,0,0
 the former usually works well-formed single sentence latter needs process multiple sentences lengthy,0,101,13,0,0,1,0,0,13,0,0,1,0,0,87,0,0,0
 2),0,3,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
 pos tags must-have features parsing punctuations not,0,53,7,0,0,1,0,0,7,0,0,1,0,0,45,0,0,0
 the parsing quality former sensitive performance entire task latter,0,68,9,0,0,0,0,0,9,0,0,0,0,0,59,0,0,0
 orlando bloom miranda kerr still love actors orlando bloom model miranda kerr want go separate ways ,0,101,16,0,0,0,0,0,17,0,0,0,0,0,84,0,0,0
" however , interview , bloom said kerr still love ",0,50,9,0,0,2,0,0,10,0,0,0,0,0,38,0,0,0
 miranda kerr orlando bloom parents two-year-old flynn ,0,55,7,0,0,2,0,0,8,0,0,2,0,0,45,0,0,0
" actor orlando bloom announced separation wife , supermodel miranda kerr ",0,73,10,0,0,1,0,0,11,0,0,0,0,0,61,0,0,0
" in interview us journalist katie couric , broadcast friday (local time), bloom said , &quot; sometimes life &apos;t go exactly plan hope &quot; ",0,145,23,0,0,11,0,0,24,0,0,0,0,0,110,0,0,0
" he kerr still love , emphasised 36-year-old ",0,45,7,0,0,3,0,0,8,0,0,2,0,0,32,2,0,0
 &quot; we &apos;re going support one another love parents flynn &quot; ,0,72,11,0,0,6,0,0,12,0,0,0,0,0,54,0,0,0
 kerr bloom married since 2010 ,0,31,5,0,0,0,0,0,6,0,0,0,0,0,21,4,0,0
 their son flynn born 2011 ,0,27,5,0,0,0,0,0,6,0,0,0,0,0,17,4,0,0
" jet makers feud seat width big orders stake a row flared leading plane makers width tourist-class seats long-distance flights , setting tone bitter confrontation month &apos;s dubai airshow ",0,191,28,0,0,5,0,0,29,0,0,2,0,0,157,0,0,0
" the dispute focuses width seats provided long-haul flights economy passengers - always ones courted airlines , whose allocated space holds key efficiency claims latest jets offered airbus sas boeing co ",0,203,30,0,0,3,0,0,31,0,0,2,0,0,169,0,0,0
" airbus week called industry standard would provide seat least 18 inches (46 cm) wide economy cabins , u",0,104,18,0,0,3,0,0,18,0,0,0,0,0,79,4,0,0
 arch-rival boeing says airlines decide ,0,40,5,0,0,1,0,0,6,0,0,1,0,0,33,0,0,0
" the dispute comes plane makers vie sell ever-larger versions twin-engined long-distance aircraft , potentially record orders expected november 17-21 event ",0,156,20,0,0,5,0,0,21,0,0,4,0,0,126,4,0,0
 how back plane laid - particularly whether seating 9 10 abreast - central economic performance claims made new &quot; mini-jumbo &quot; jet designs ,0,149,23,0,0,7,0,0,24,0,0,3,0,0,115,3,0,0
 boeing says revamped &quot; 777x &quot; hold 406 people based economy seats 17 inches wide set 10 row ,0,103,18,0,0,4,0,0,19,0,0,0,0,0,70,10,0,0
 airbus says competing version a350 carry 350 people 18-inch-wide economy seat laid 9 abreast ,0,94,14,0,0,2,0,0,15,0,0,2,0,0,68,9,0,0
 plane giants often trade blows technical matters advertising trade press ,0,74,10,0,0,0,0,0,11,0,0,0,0,0,63,0,0,0
" now , airbus appealing directly public ahead dubai airshow , 777x expected dominate 100 orders ",0,96,15,0,0,2,0,0,16,0,0,0,0,0,72,6,0,0
" it recently previewed may start new ad war showing financiers slide illustrating three people squashed together restaurant , titled &quot; would you accept this ? &quot; &quot; boeing proposing long-distance flying seats narrower regional turbo-props , &quot; said airbus sales chief john leahy ",0,296,43,0,0,13,0,0,44,0,0,2,0,0,239,0,0,0
" as diets change , people get bigger plane seating radically changed ",0,69,11,0,0,1,0,0,12,0,0,0,0,0,56,0,0,0
" between early 1970s , boeing 747 jumbo defined modern long-haul travel , turn century , weight average american 40- 49-year-old male increased 10 per cent , according u",0,169,28,0,0,8,0,0,28,0,0,4,0,0,120,13,0,0
 health department data ,0,24,3,0,0,0,0,0,4,0,0,0,0,0,20,0,0,0
 the waist average 21st-century american male 39,0,48,7,0,0,1,0,0,7,0,0,1,0,0,36,4,0,0
"7 inches , according u",0,22,5,0,0,1,0,0,4,0,0,0,0,0,16,1,0,0
 health statistics ,0,19,2,0,0,0,0,0,3,0,0,0,0,0,16,0,0,0
" airbus says rival sticking seat concept 1950s , average girth newly christened &quot; jet set &quot; narrower ",0,111,17,0,0,5,0,0,18,0,0,0,0,0,84,4,1,0
 airbus says commissioned research suggesting extra inch seat width improves sleep quality 53 per cent ,0,103,15,0,0,0,0,0,16,0,0,0,0,0,85,2,0,0
 boeing disputes airbus &apos;s figures seat measurements says manufacturers step decisions airlines balance fares facilities ,0,126,15,0,0,2,0,0,16,0,0,0,0,0,108,0,0,0
 it also says research shows cabin experience depends width seat ,0,65,10,0,0,0,0,0,11,0,0,0,0,0,54,0,0,0
" &quot; it really comes providing flexibility airlines allowing things believe need successful , &quot; said boeing cabins expert kent craver ",0,142,20,0,0,5,0,0,21,0,0,0,0,0,116,0,0,0
 they &apos;t want us dictate makes profitable ,0,47,7,0,0,2,0,0,8,0,0,0,0,0,37,0,0,0
 they know business better anyone else ,0,39,6,0,0,0,0,0,7,0,0,0,0,0,32,0,0,0
" for flyers elbow room , suppliers increasingly issue could affect earnings ",0,76,11,0,0,1,0,0,12,0,0,0,0,0,63,0,0,0
" behind dispute race plane orders least $ 700-billion estimated business list prices coming decades , enough tip scales u",0,121,19,0,0,3,0,0,19,0,0,1,0,0,96,3,0,0
 european exports ,0,18,2,0,0,0,0,0,3,0,0,0,0,0,15,0,0,0
" as reuters first reported july , seat layout exactly drives battle latest jets ",0,80,13,0,0,1,0,0,14,0,0,0,0,0,65,0,0,0
" both airbus boeing claim 20 per cent better efficiency per seat latest twin-engined long-haul designs market leader segment , 365-seat boeing 777-300er ",0,153,22,0,0,5,0,0,23,0,0,4,0,0,114,11,0,0
 boeing &apos;s performance claims depend part comparing 10-abreast 777x original 9-abreast 777 design ,0,103,13,0,0,4,0,0,14,0,0,2,0,0,76,9,0,0
 the gain unit costs blunted compared 10-abreast use ,0,53,8,0,0,1,0,0,9,0,0,1,0,0,41,2,0,0
" &quot; the reason boeing cram seats make plane competitive products , &quot; said kevin keniston , head passenger comfort europe &apos;s airbus ",0,145,22,0,0,8,0,0,23,0,0,0,0,0,114,0,0,0
" on hand , analysts say full 10-seat-per-row cabins existing 777s suggest many passengers voting denser layout , may go hand hand cheaper fares ",0,144,23,0,0,5,0,0,24,0,0,3,0,0,110,5,0,0
" &quot; eighteen inches seat width would great passengers , reality business point airbus proposal driven threat 777 , &quot; said cabin interiors expert mary kirby , founder editor runway girl network ",0,202,31,0,0,7,0,0,32,0,0,0,0,0,160,3,0,0
 airbus boeing supply seats offer catalogue suppliers airlines choose ,0,70,9,0,0,0,0,0,10,0,0,0,0,0,60,0,0,0
 globe-trotting jet sellers even carry tape measures check competing layouts ,0,77,10,0,0,1,0,0,11,0,0,1,0,0,65,0,0,0
" while boasting comfort , builders also offer jets high-density layouts low-cost airlines regional travel ",0,106,14,0,0,3,0,0,15,0,0,2,0,0,88,0,0,0
 airbus offers 10-abreast a350 says yet sold ,0,45,7,0,0,1,0,0,8,0,0,1,0,0,31,5,0,0
" until recently , airbus stressing need cabin customization offering wider aisle seats jets ",0,92,13,0,0,1,0,0,14,0,0,0,0,0,77,0,0,0
" without support maker large modern jets , experts say call new industry standard unlikely fly , could distract wave 777x sales ",0,128,21,0,0,2,0,0,22,0,0,0,0,0,101,3,0,0
 the faa easing restrictions use electronic gadgets airplanes - though chatting cellphones still prohibited ,0,108,14,0,0,1,0,0,15,0,0,1,0,0,92,0,0,0
" warplanes attack store russian missiles port city latakia , official says ",0,75,11,0,0,1,0,0,12,0,0,0,0,0,62,0,0,0
 it &apos;s apparent continuation israel &apos;s campaign keep arms proliferating mideast ,0,90,11,0,0,4,0,0,12,0,0,0,0,0,74,0,0,0
 a federal appeals court blocks judge &apos;s ruling nypd &apos;s controversial tactic discriminates minorities ,0,112,14,0,0,4,0,0,15,0,0,0,0,0,93,0,0,0
 nearly 100 african migrants hoping travel algeria die thirst two trucks break middle sahara ,0,93,14,0,0,0,0,0,15,0,0,0,0,0,75,3,0,0
" experts say violence left 14 adults seven children dead nothing random chance , sign growing violence america ",0,111,17,0,0,1,0,0,18,0,0,0,0,0,90,2,0,0
 rather rattled u,0,17,3,0,0,0,0,0,3,0,0,0,0,0,14,0,0,0
" government shutdown , investors kept focus probably matters more: federal reserve ",0,83,11,0,0,2,0,0,12,0,0,0,0,0,69,0,0,0
" the california woman plans challenge may first-of-its-kind citation , saying internet-connected eyewear makes navigation easier ",0,129,15,0,0,5,0,0,16,0,0,4,0,0,108,0,0,0
 police say video appears show mayor rob ford smoking crack pipe ,0,65,11,0,0,0,0,0,12,0,0,0,0,0,53,0,0,0
 even close allies keep things one another - work every angle find &apos;s held back ,0,85,15,0,0,3,0,0,16,0,0,1,0,0,66,0,0,0
" the vatican wants know catholic parishes around globe handle sensitive issues like contraception , divorce gay couples ",0,120,17,0,0,1,0,0,18,0,0,0,0,0,101,0,0,0
" persons seriously injured following collision early friday afternoon , two car drivers seriously injured head-on collision landesstraãe 44 (a rural road)",0,155,21,0,0,4,0,0,21,0,0,1,0,0,126,2,0,0
" the police completely blocked road immediately , initially could make much comment cause accident ",0,99,14,0,0,1,0,0,15,0,0,0,0,0,83,0,0,0
" however , mention various witness statements first assessed ",0,61,8,0,0,1,0,0,9,0,0,0,0,0,51,0,0,0
 what certain 19-year-old female driver vw golf driving direction revensdorf 38-year-old man gettorf came towards hyundai ,0,122,16,0,0,4,0,0,17,0,0,4,0,0,97,4,0,0
" the two vehicles collided , whereby woman severely stuck took fire service almost half hour free vehicle wreckage ",0,115,18,0,0,1,0,0,19,0,0,0,0,0,95,0,0,0
 initially actual cause accident remained unclear ,0,50,6,0,0,0,0,0,7,0,0,0,0,0,43,0,0,0
 both unfortunate parties taken nearby hospitals ,0,49,6,0,0,0,0,0,7,0,0,0,0,0,42,0,0,0
 the road remained fully blocked around two hours ,0,50,8,0,0,0,0,0,9,0,0,0,0,0,41,0,0,0
 fire crews called rescue lost puppy got stuck 50ft ground precarious ledge quarry cocker spaniel ruby run minor road crash she spotted three days later dog walker trapped quarry firefighters abseil cliff face pluck dog certain death a puppy lucky escape fire crews called lift safety somehow got stuck 50ft precarious cliff ledge ,0,331,53,0,0,0,0,0,54,0,0,0,0,0,273,4,0,0
 nine month-old cocker spaniel ruby run involved road crash sunday afternoon survived three days alone rescued quarry wednesday ,0,128,18,0,0,1,0,0,19,0,0,1,0,0,108,0,0,0
" her owners scott alderson , 25 , girlfriend becky hall , 20 , flappit quarry denholme , west yorkshire , reunited ruby thanked west yorkshire fire rescue service ",0,163,28,0,0,6,0,0,29,0,0,0,0,0,124,4,0,0
 they searched frantically missing dog posted appeals social networking sites ran quarry following minor accident ,0,114,15,0,0,0,0,0,16,0,0,0,0,0,98,0,0,0
 at around 2,0,12,3,0,0,0,0,0,3,0,0,0,0,0,8,1,0,0
"15pm wednesday , eagle-eyed dog walker spotted ruby ledge quarry , stranded 50ft ",0,81,13,0,0,3,0,0,13,0,0,1,0,0,61,4,0,0
 a technical rescue team cleckheaton fire station rushed scene abseiled rescue ruby used pet tube transport cliff ,0,114,17,0,0,0,0,0,18,0,0,0,0,0,96,0,0,0
 specialist technical rescue officer andy clayton said: &apos; she precarious situation ,0,88,11,0,0,3,0,0,12,0,0,0,0,0,73,0,0,0
 she right middle cliff face - 50ft top bottom ,0,47,9,0,0,1,0,0,10,0,0,1,0,0,34,2,0,1
 she move muscle rescue - frozen solid ,0,39,7,0,0,1,0,0,8,0,0,1,0,0,30,0,0,0
 but fine ,0,10,2,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0
 she eating biscuits afterwards ,0,32,4,0,0,0,0,0,5,0,0,0,0,0,27,0,0,0
 this unusual call-out ,0,23,3,0,0,1,0,0,4,0,0,1,0,0,18,0,0,0
 the fact dog spotted unbelievable ,0,35,5,0,0,0,0,0,6,0,0,0,0,0,29,0,0,0
 specialist technical rescue officer peter lau said: &quot; ruby lucky escape ,0,78,11,0,0,3,0,0,12,0,0,0,0,0,63,0,0,0
 &quot; the potential could seriously injured worse ,0,52,7,0,0,2,0,0,8,0,0,0,0,0,42,0,0,0
 ruby taken vets check-up found fine exhaustion dehydration ,0,60,8,0,0,1,0,0,9,0,0,1,0,0,50,0,0,0
" miss hall , halifax , west yorkshire , said: &quot; watching rescue terrifying ",0,80,13,0,0,6,0,0,14,0,0,0,0,0,60,0,0,0
 &quot; i could believe first place ,0,36,6,0,0,2,0,0,7,0,0,0,0,0,27,0,0,0
 it amazing get back arms ,0,26,5,0,0,0,0,0,6,0,0,0,0,0,20,0,0,0
 the vet said became exhausted collapsed would probably fallen ,0,63,9,0,0,0,0,0,10,0,0,0,0,0,53,0,0,0
 the firefighters amazing ,0,26,3,0,0,0,0,0,4,0,0,0,0,0,22,0,0,0
 it really daring ,0,18,3,0,0,0,0,0,4,0,0,0,0,0,14,0,0,0
 we grateful every single one absolutely tremendous ,0,52,7,0,0,0,0,0,8,0,0,0,0,0,44,0,0,0
" mr alderson , keighley , added: &quot; we scared might fall stayed ",0,68,12,0,0,5,0,0,13,0,0,0,0,0,50,0,0,0
 &quot; the firefighters brilliant ,0,35,4,0,0,2,0,0,5,0,0,0,0,0,28,0,0,0
 i &apos;t believe ,0,19,3,0,0,2,0,0,4,0,0,0,0,0,13,0,0,0
" report: obama campaign considered dumping biden hillary clinton president barack obama &apos;s closest advisers secretly considered replacing vice president joe biden hillary clinton 2012 ticket , according new york times ",0,223,30,0,0,4,0,0,31,0,0,0,0,0,184,4,0,0
" the revelation notable bombshell mark halperin john heilemann &apos;s heavily anticipated 2012 campaign tome , &quot; double down: game change 2012 ",0,149,21,0,0,6,0,0,22,0,0,0,0,0,113,8,0,0
 &quot; the times obtained copy forthcoming book reported thursday evening president &apos;s top aides conducted &quot; extensive group-sessions polling late 2011 &quot; gauge whether dumping biden could help bolster obama &apos;s waning re-election hopes ,0,256,34,0,0,12,0,0,35,0,0,2,0,0,205,4,0,1
" according times &apos; national political correspondent jonathan martin , book provides thorough account effort senior officials inside campaign white house , namely former white house chief staff bill daley , measure effect swapping former secretary state clinton vice president would polls ",0,293,41,0,0,5,0,0,42,0,0,0,0,0,246,0,0,0
 the potential switch closely guarded secret within chicago campaign infrastructure inside oval office ,0,103,13,0,0,0,0,0,14,0,0,0,0,0,89,0,0,0
" only half dozen president &apos;s closest advisers -- including daley , former obama campaign chief jim messina , former white house senior advisers david axelrod david plouffe -- knew change consideration ",0,207,31,0,0,8,2,0,32,0,0,4,0,0,167,0,0,0
" &quot; double down &quot; claims daley spearheaded effort replace biden , despite &quot; close personal rapport , &quot; ultimately deciding move data showed adding clinton ticket &apos;t &quot; materially improve obama &apos;s odds ",0,234,33,0,0,16,0,0,34,0,0,0,0,0,184,0,0,0
" &quot; in interview martin , daley confirmed administration fact consider replacing biden clinton ",0,99,13,0,0,3,0,0,14,0,0,0,0,0,82,0,0,0
" &quot; i vocal looking whole bunch things , one , &quot; daley told paper ",0,75,14,0,0,6,0,0,15,0,0,0,0,0,54,0,0,0
" you remember , point president awful shape , like , &quot; holy christ , ? &quot; while daley characterized research &quot; due diligence , &quot; martin told cnn &apos;s anderson cooper re-election campaign made significant investment finding whether move would pay dividends polls ",0,284,43,0,0,17,0,0,44,0,0,1,0,0,223,0,2,0
" &quot; campaigns &apos;t spend kind money polling focus groups unless &apos;re seriously considering something , &quot; martin said ac360 ",0,139,19,0,0,9,0,0,20,0,0,0,0,0,107,3,0,0
" it &apos;s unclear , however , whether obama knew team exploring swap ",0,71,12,0,0,4,0,0,13,0,0,0,0,0,54,0,0,0
 martin told cnn asked daley whether then-boss knew potential shuffle ,0,70,10,0,0,1,0,0,11,0,0,1,0,0,58,0,0,0
" while daley said &apos;t think president &quot; aware &quot; potential change , former chief staff admitted &apos;s &quot; possible &quot; obama knew ",0,151,22,0,0,13,0,0,23,0,0,0,0,0,115,0,0,0
 martin added &quot; double down &quot; definitively answer whether political probing reached obama &apos;s desk ,0,113,15,0,0,6,0,0,16,0,0,0,0,0,91,0,0,0
 cooper asked martin whether seriously thought obama know research dumping biden ticket ,0,88,12,0,0,0,0,0,13,0,0,0,0,0,75,0,0,0
" &quot; possibly , &quot; martin replied ",0,41,6,0,0,5,0,0,7,0,0,0,0,0,29,0,0,0
" a day thanks mgv (male choral society) dinker this year &quot; friedrich wilhelm dinker &quot; mgv issued invitation 165th anniversary celebration , 52 guests , active singers wives happy accept ",0,196,30,0,0,8,0,0,31,0,0,0,0,0,152,5,0,0
" in clubhouse &quot; witteborg &quot; inn dinker , present enjoyed friendly get-together name music ",0,100,14,0,0,6,0,0,15,0,0,1,0,0,79,0,0,0
" traditionally , anniversary celebration also always fitting occasion bestow honours ",0,85,10,0,0,1,0,0,11,0,0,0,0,0,73,0,0,0
" this time around , secretary rolf wagener delighted receive special &quot; singer year &quot; award ",0,101,15,0,0,5,0,0,16,0,0,0,0,0,80,0,0,0
" &quot; not kept countless records us , also done much running around us , offer sincere thanks , &quot; said choir chairman erich schlotmann ",0,142,24,0,0,7,0,0,25,0,1,0,0,0,110,0,0,0
" the awards participation performances choir rehearsals means presentation &quot; activity posies &quot; , year went choir director dieter schulze , 44 attendance marks , followed honorary chairman horst pier-ribbert , chairman , last year &apos;s &quot; singer year &quot; friedrich winkler , attended 42 times ",0,312,45,0,0,17,0,0,46,0,0,1,0,0,245,4,0,0
" fifth place went artur brã¼ckner , responsible organising music copies ",0,72,10,0,0,1,0,0,11,0,0,0,0,0,58,0,0,0
" the board directors gave special thanks team managed innkeeper , ange pier-ribbert , delighted present top class menu , gerda pier-ribbert table decorations ",0,158,23,0,0,5,0,0,24,0,0,2,0,0,129,0,0,1
 the &quot; friedrich-wilhelm &quot; mgv meets regular choir rehearsals clubhouse every tuesday 19: 45 ,0,103,14,0,0,6,0,0,15,0,0,1,0,0,78,4,0,0
" &quot; new voices love sing welcome time , &quot; said schlotmann ",0,67,11,0,0,5,0,0,12,0,0,0,0,0,50,0,0,0
